tau,mag
-39.96079992159984,1.0607022639707846
-39.96063992127984,1.0607029713356846
-39.96047992095984,1.060703678513349
-39.96031992063984,1.0607043858262393
-39.96015992031984,1.060705093295159
-39.95999991999984,1.0607058008160883
-39.95983991967984,1.0607065078065174
-39.959679919359836,1.0607072155042805
-39.959519919039835,1.060707922994004
-39.95935991871984,1.060708630046845
-39.95919991839984,1.060709337661392
-39.95903991807984,1.060710045036694
-39.95887991775984,1.0607107524744077
-39.958719917439836,1.0607114597976999
-39.958559917119835,1.060712167422649
-39.958399916799834,1.060712874808353
-39.95823991647983,1.060713582152449
-39.95807991615983,1.0607142896733783
-39.95791991583983,1.0607149972567196
-39.95775991551983,1.0607157046632274
-39.95759991519983,1.0607164120593333
-39.95743991487983,1.0607171197154883
-39.957279914559834,1.0607178272260158
-39.957119914239826,1.0607185347781511
-39.956959913919825,1.0607192423926983
-39.95679991359982,1.0607199499864417
-39.95663991327983,1.0607206577154105
-39.95647991295983,1.0607213648098592
-39.95631991263983,1.0607220726116418
-39.956159912319826,1.0607227803094046
-39.955999911999825,1.0607234879239518
-39.955839911679824,1.0607241954552833
-39.95567991135982,1.0607249029970167
-39.95551991103982,1.0607256107467893
-39.95535991071982,1.0607263183405327
-39.95519991039982,1.0607270259446777
-39.95503991007982,1.0607277337360583
-39.95487990975982,1.0607284412777918
-39.95471990943982,1.0607291489651527
-39.95455990911982,1.0607298566317096
-39.954399908799815,1.0607305644438942
-39.95423990847981,1.060731272152059
-39.95407990815981,1.0607319800474593
-39.95391990783982,1.060732687776428
-39.95375990751982,1.060733395515799
-39.953599907199816,1.0607341032135618
-39.953439906879815,1.060734810796903
-39.953279906559814,1.0607355186506953
-39.95311990623981,1.0607362265252915
-39.95295990591981,1.0607369341814468
-39.95279990559981,1.0607376419416215
-39.95263990527981,1.060738349712198
-39.95247990495981,1.0607390575763924
-39.95231990463981,1.0607397655758122
-39.95215990431981,1.0607404733879968
-39.951999903999805,1.060741181272995
-39.95183990367981,1.0607418890643756
-39.9516799033598,1.060742596959776
-39.9515199030398,1.0607433047615584
-39.95135990271981,1.060744012792184
-39.95119990239981,1.0607447205835647
-39.951039902079806,1.0607454287182103
